
6.A.	SYSTEMS, EQUIPMENT AND COMPONENTS
6.A.1.a.1.a.3.b.	An 'area coverage rate' of greater than 570 m2/s while operating at the maximum range that it can operate with an 'along track resolution' of less than 15 cm; and
6.A.1.a.1.a.3.c.	An 'across track resolution' of less than 15 cm;

6.A.1.a.1.a.3.Technical Notes.1.	'Area coverage rate' (m2/s) is twice the product of the sonar range (m) and the maximum speed (m/s) at which the sensor can operate at that range.
6.A.1.a.1.a.3.Technical Notes.2.	'Along track resolution' (cm), for SSS only, is the product of azimuth (horizontal) beamwidth (degrees) and sonar range (m) and 0.873.
6.A.1.a.1.a.3.Technical Notes.3.	'Across track resolution' (cm) is 75 divided by the signal bandwidth (kHz).

6.A.1.a.1.b.	Systems or transmitting and receiving arrays, designed for object detection or location, having any of the following:
6.A.1.a.1.b.1.	A transmitting frequency below 10 kHz;
6.A.1.a.1.b.2.	Sound pressure level exceeding 224 dB (reference 1 µPa at 1 m) for equipment with an operating frequency in the band from 10 kHz to 24 kHz inclusive;
6.A.1.a.1.b.3.	Sound pressure level exceeding 235 dB (reference 1 µPa at 1 m) for equipment with an operating frequency in the band between 24 kHz and 30 kHz;
6.A.1.a.1.b.4.	Forming beams of less than 1° on any axis and having an operating frequency of less than 100 kHz;
6.A.1.a.1.b.5.	Designed to operate with an unambiguous display range exceeding 5,120 m; or
6.A.1.a.1.b.6.	Designed to withstand pressure during normal operation at depths exceeding 1,000 m and having transducers with any of the following:
6.A.1.a.1.b.6.a.	Dynamic compensation for pressure; or
6.A.1.a.1.b.6.b.	Incorporating other than lead zirconate titanate as the transduction element;

6.A.1.a.1.c.	Acoustic projectors (including transducers), incorporating piezoelectric, magnetostrictive, electrostrictive, electrodynamic or hydraulic elements operating individually or in a designed combination, and having any of the following:
6.A.1.a.1.c.Note 1.	The status of acoustic projectors, including transducers, specially designed for other equipment not specified by 6.A.1. is determined by the status of the other equipment.
6.A.1.a.1.c.Note 2.	6.A.1.a.1.c. does not apply to electronic sources which direct the sound vertically only, or mechanical (e.g., air gun or vapour-shock gun) or chemical (e.g., explosive) sources.
6.A.1.a.1.c.Note 3.	Piezoelectric elements specified in 6.A.1.a.1.c. include those made from lead-magnesium-niobate/lead-titanate (Pb(Mg1/3Nb2/3)O3-PbTiO3, or PMN-PT) single crystals grown from solid solution or lead-indium-niobate/lead-magnesium niobate/lead-titanate (Pb(In1/2Nb1/2)O3–Pb(Mg1/3Nb2/3)O3–PbTiO3, or PIN-PMN-PT) single crystals grown from solid solution.

6.A.1.a.1.c.1.	Operating at frequencies below 10 kHz and having any of the following:
6.A.1.a.1.c.1.a.	Not designed for continuous operation at 100% duty cycle and having a radiated 'free-field Source Level (SLRMS)' exceeding (10log(f) + 169.77)dB (reference 1 µPa at 1 m) where f is the frequency in Hertz of maximum Transmitting Voltage Response (TVR) below 10 kHz; or
6.A.1.a.1.c.1.b.	Designed for continuous operation at 100% duty cycle and having a continuously radiated 'free-field Source Level (SLRMS)' at 100% duty cycle exceeding (10log(f) + 159.77)dB (reference 1 µPa at 1 m) where f is the frequency in Hertz of maximum Transmitting Voltage Response (TVR) below 10 kHz; or


6.A.1.a.1.c.1.Technical Note.	The 'free-field Source Level (SLRMS)' is defined along the maximum response axis and in the far field of the acoustic projector. It can be obtained from the Transmitting Voltage Response using the following equation: SLRMS = (TVR + 20log VRMS) dB (ref 1µPa at 1 m), where SLRMS is the source level, TVR is the Transmitting Voltage Response and VRMS is the Driving Voltage of the Projector.

6.A.1.a.1.c.2.	Not used since 2014
6.A.1.a.1.c.2.N.B.	See 6.A.1.a.1.c.1. for items previously specified in 6.A.1.a.1.c.2.
6.A.1.a.1.c.3.	Side-lobe suppression exceeding 22 dB;

6.A.1.a.1.d.	Acoustic systems and equipment, designed to determine the position of surface vessels or underwater vehicles and having all of the following, and specially designed components therefor:
6.A.1.a.1.d.1.	Detection range exceeding 1,000 m; and
6.A.1.a.1.d.2.	Determined position error of less than 10 m rms (root mean square) when measured at a range of 1,000 m; 
6.A.1.a.1.d.Note.	6.A.1.a.1.d. includes:
6.A.1.a.1.d.Note.a.	Equipment using coherent "signal processing" between two or more beacons and the hydrophone unit carried by the surface vessel or underwater vehicle;
6.A.1.a.1.d.Note.b.	Equipment capable of automatically correcting speed-of-sound propagation errors for calculation of a point.

6.A.1.a.1.e.	Active individual sonars, specially designed or modified to detect, locate and automatically classify swimmers or divers, having all of the following, and specially designed transmitting and receiving acoustic arrays therefor:
6.A.1.a.1.e.1.	Detection range exceeding 530 m;
6.A.1.a.1.e.2.	Determined position error of less than 15 m rms (root mean square) when measured at a range of 530 m; and
6.A.1.a.1.e.3.	Transmitted pulse signal bandwidth exceeding 3 kHz;
6.A.1.a.1.e.N.B.	For diver detection systems specially designed or modified for military use, see the Munitions List.
6.A.1.a.1.e.Note.	For 6.A.1.a.1.e., where multiple detection ranges are specified for various environments, the greatest detection range is used.

6.A.1.a.2.	Passive systems, equipment and specially designed components therefor, as follows:
6.A.1.a.2.Note.	6.A.1.a.2. also applies to receiving equipment, whether or not related in normal application to separate active equipment, and specially designed components therefor.

6.A.1.a.2.a.	Hydrophones having any of the following:
6.A.1.a.2.a.Note.	The status of hydrophones specially designed for other equipment is determined by the status of the other equipment.

6.A.1.a.2.a.Technical Notes.1.	Hydrophones consist of one or more sensing elements producing a single acoustic output channel.  Those that contain multiple elements can be referred to as a hydrophone group. 
6.A.1.a.2.a.Technical Notes.2.	For the purposes of 6.A.1.a.2.a., underwater acoustic transducers designed to operate as passive receivers are hydrophones.

6.A.1.a.2.a.1.	Incorporating continuous flexible sensing elements;
6.A.1.a.2.a.2.	Incorporating flexible assemblies of discrete sensing elements with either a diameter or length less than 20 mm and with a separation between elements of less than 20 mm;
6.A.1.a.2.a.3.	Having any of the following sensing elements:
6.A.1.a.2.a.3.a.	Optical fibres;
6.A.1.a.2.a.3.b.	'Piezoelectric polymer films' other than polyvinylidene-fluoride (PVDF) and its co-polymers {P(VDF-TrFE) and P(VDF-TFE)};
6.A.1.a.2.a.3.c.	'Flexible piezoelectric composites';

6.A.1.a.2.a.3.d.	Lead-magnesium-niobate/lead-titanate (i.e., Pb(Mg1/3Nb2/3)O3-PbTiO3, or PMN-PT) piezoelectric single crystals grown from solid solution; or
6.A.1.a.2.a.3.e.	Lead-indium-niobate/lead-magnesium niobate/lead-titanate (i.e., Pb(In1/2Nb1/2)O3–Pb(Mg1/3Nb2/3)O3–PbTiO3, or PIN-PMN-PT) piezoelectric single crystals grown from solid solution;
6.A.1.a.2.a.4.	A 'hydrophone sensitivity' better than -180 dB at any depth with no acceleration compensation;
6.A.1.a.2.a.5.	Designed to operate at depths exceeding 35 m with acceleration compensation; or
6.A.1.a.2.a.6.	Designed for operation at depths exceeding 1,000 m and having a 'hydrophone sensitivity' better than -230 dB below 4 kHz;


6.A.1.a.2.a.Technical Notes.1.	'Piezoelectric polymer film' sensing elements consist of polarized polymer film that is stretched over and attached to a supporting frame or spool (mandrel).
6.A.1.a.2.a.Technical Notes.2.	'Flexible piezoelectric composite' sensing elements consist of piezoelectric ceramic particles or fibres combined with an electrically insulating, acoustically transparent rubber, polymer or epoxy compound, where the compound is an integral part of the sensing elements.


6.A.1.a.2.a.Technical Notes.3.	'Hydrophone sensitivity' is defined as twenty times the logarithm to the base 10 of the ratio of rms output voltage to a 1 V rms reference, when the hydrophone sensor, without a pre-amplifier, is placed in a plane wave acoustic field with an rms pressure of 1 µPa.  For example, a hydrophone of -160 dB (reference 1 V per µPa) would yield an output voltage of 10-8 V in such a field, while one of -180 dB sensitivity would yield only 10-9 V output.  Thus, -160 dB is better than -180 dB. 

6.A.1.a.2.b.	Towed acoustic hydrophone arrays having any of the following:

6.A.1.a.2.b.Technical Note.	Hydrophone arrays consist of a number of hydrophones providing multiple acoustic output channels.
6.A.1.a.2.b.1.	Hydrophone group spacing of less than 12.5 m or 'able to be modified' to have hydrophone group spacing of less than 12.5 m;
6.A.1.a.2.b.2.	Designed or 'able to be modified' to operate at depths exceeding 35 m;

6.A.1.a.2.b.2.Technical Note.	'Able to be modified' in 6.A.1.a.2.b. means having provisions to allow a change of the wiring or interconnections to alter hydrophone group spacing or operating depth limits. These provisions are: spare wiring exceeding 10% of the number of wires, hydrophone group spacing adjustment blocks or internal depth limiting devices that are adjustable or that control more than one hydrophone group.

6.A.1.a.2.b.3.	Heading sensors specified by 6.A.1.a.2.d.;
6.A.1.a.2.b.4.	Longitudinally reinforced array hoses;
6.A.1.a.2.b.5.	An assembled array of less than 40 mm in diameter;
6.A.1.a.2.b.6.	Not used since 2007
6.A.1.a.2.b.7.	Hydrophone characteristics specified by 6.A.1.a.2.a.; or
6.A.1.a.2.b.8.	Accelerometer-based hydro-acoustic sensors specified by 6.A.1.a.2.g.;
6.A.1.a.2.c.	Processing equipment, specially designed for towed acoustic hydrophone arrays, having "user-accessible programmability" and time or frequency domain processing and correlation, including spectral analysis, digital filtering and beamforming using Fast Fourier or other transforms or processes;
6.A.1.a.2.d.	Heading sensors having all of the following: 
6.A.1.a.2.d.1.	An "accuracy" of better than 0.5°; and
6.A.1.a.2.d.2.	Designed to operate at depths exceeding 35 m or having an adjustable or removable depth sensing device in order to operate at depths exceeding 35 m;
6.A.1.a.2.d.N.B.	For inertial heading systems, see 7.A.3.c.

6.A.1.a.2.e.	Bottom or bay-cable hydrophone arrays having any of the following:
6.A.1.a.2.e.1.	Incorporating hydrophones specified by 6.A.1.a.2.a.;
6.A.1.a.2.e.2.	Incorporating multiplexed hydrophone group signal modules having all of the following characteristics: 
6.A.1.a.2.e.2.a.	Designed to operate at depths exceeding 35 m or having an adjustable or removable depth sensing device in order to operate at depths exceeding 35 m; and
6.A.1.a.2.e.2.b.	Capable of being operationally interchanged with towed acoustic hydrophone array modules; or
6.A.1.a.2.e.3.	Incorporating accelerometer-based hydro-acoustic sensors specified by 6.A.1.a.2.g.;
6.A.1.a.2.f.	Processing equipment, specially designed for bottom or bay cable systems, having "user-accessible programmability" and time or frequency domain processing and correlation, including spectral analysis, digital filtering and beamforming using Fast Fourier or other transforms or processes;

6.A.1.a.2.g.	Accelerometer-based hydro-acoustic sensors having all of the following: 
6.A.1.a.2.g.1.	Composed of three accelerometers arranged along three distinct axes;
6.A.1.a.2.g.2.	Having an overall 'acceleration sensitivity' better than 48 dB (reference 1,000 mV rms per 1g);
6.A.1.a.2.g.3.	Designed to operate at depths greater than 35 meters; and
6.A.1.a.2.g.4.	Operating frequency below 20 kHz.
6.A.1.a.2.g.Note.	6.A.1.a.2.g. does not apply to particle velocity sensors or geophones.

6.A.1.a.2.g.Technical Notes.1.	Accelerometer-based hydro-acoustic sensors are also known as vector sensors.
6.A.1.a.2.g.Technical Notes.2.	'Acceleration sensitivity' is defined as twenty times the logarithm to the base 10 of the ratio of rms output voltage to a 1 V rms reference, when the hydro-acoustic sensor, without a preamplifier, is placed in a plane wave acoustic field with an rms acceleration of 1 g (i.e., 9.81 m/s2).
6.A.1.b.	Correlation-velocity and Doppler-velocity sonar log equipment, designed to measure the horizontal speed of the equipment carrier relative to the sea bed, as follows:
6.A.1.b.1.	Correlation-velocity sonar log equipment having any of the following characteristics:
6.A.1.b.1.a.	Designed to operate at distances between the carrier and the sea bed exceeding 500 m; or
6.A.1.b.1.b.	Having speed "accuracy" better than 1% of speed;
6.A.1.b.2.	Doppler-velocity sonar log equipment having speed "accuracy" better than 1% of speed.

6.A.1.b.Note 1.	6.A.1.b. does not apply to depth sounders limited to any of the following:
6.A.1.b.Note 1.a.	Measuring the depth of water;
6.A.1.b.Note 1.b.	Measuring the distance of submerged or buried objects; or
6.A.1.b.Note 1.c.	Fish finding.
6.A.1.b.Note 2.	6.A.1.b. does not apply to equipment specially designed for installation on surface vessels.
6.A.1.c.	Not used since 2010
6.A.1.c.N.B.	For diver deterrent acoustic systems, see 8.A.2.r.


6.A.2.	OPTICAL SENSORS

6.A.2.	Optical sensors or equipment and components therefor, as follows:
6.A.2.a.	Optical detectors as follows:
6.A.2.a.1.	"Space-qualified" solid-state detectors as follows:
6.A.2.a.1.Note.	For the purpose of 6.A.2.a.1., solid-state detectors include "focal plane arrays".

6.A.2.a.1.a.	"Space-qualified" solid-state detectors having all of the following:
6.A.2.a.1.a.1.	A peak response in the wavelength range exceeding 10 nm but not exceeding 300 nm; and
6.A.2.a.1.a.2.	A response of less than 0.1% relative to the peak response at a wavelength exceeding 400 nm;
6.A.2.a.1.b.	"Space-qualified" solid-state detectors having all of the following:
6.A.2.a.1.b.1.	A peak response in the wavelength range exceeding 900 nm but not exceeding 1,200 nm; and
6.A.2.a.1.b.2.	A response "time constant" of 95 ns or less;
6.A.2.a.1.c.	"Space-qualified" solid-state detectors having a peak response in the wavelength range exceeding 1,200 nm but not exceeding 30,000 nm;
6.A.2.a.1.d.	"Space-qualified" "focal plane arrays" having more than 2,048 elements per array and having a peak response in the wavelength range exceeding 300 nm but not exceeding 900 nm.

6.A.2.a.2.	Image intensifier tubes and specially designed components therefor, as follows:
6.A.2.a.2.Note.	6.A.2.a.2. does not apply to non-imaging photomultiplier tubes having an electron sensing device in the vacuum space limited solely to any of the following:
6.A.2.a.2.Note.a.	A single metal anode; or
6.A.2.a.2.Note.b.	Metal anodes with a centre to centre spacing greater than 500 µm.

6.A.2.a.2.Note.Technical Note.	'Charge multiplication' is a form of electronic image amplification and is defined as the generation of charge carriers as a result of an impact ionization gain process. 'Charge multiplication' sensors may take the form of an image intensifier tube, solid state detector or "focal plane array".

6.A.2.a.2.a.	Image intensifier tubes having all of the following:
6.A.2.a.2.a.1.	A peak response in the wavelength range exceeding 400 nm but not exceeding 1,050 nm;
6.A.2.a.2.a.2.	Electron image amplification using any of the following:
6.A.2.a.2.a.2.a.	A microchannel plate with a hole pitch (centre-to-centre spacing) of 12 µm or less; or
6.A.2.a.2.a.2.b.	An electron sensing device with a non-binned pixel pitch of 500 µm or less, specially designed or modified to achieve 'charge multiplication' other than by a microchannel plate; and
6.A.2.a.2.a.3.	Any of the following photocathodes:
6.A.2.a.2.a.3.a.	Multialkali photocathodes (e.g., S-20 and S-25) having a luminous sensitivity exceeding 350 µA/lm;
6.A.2.a.2.a.3.b.	GaAs or GaInAs photocathodes; or
6.A.2.a.2.a.3.c.	Other "III/V compound" semiconductor photocathodes having a maximum "radiant sensitivity" exceeding 10 mA/W;

6.A.2.a.2.b.	Image intensifier tubes having all of the following:
6.A.2.a.2.b.1.	A peak response in the wavelength range exceeding 1,050 nm but not exceeding 1,800 nm;
6.A.2.a.2.b.2.	Electron image amplification using any of the following:
6.A.2.a.2.b.2.a.	A microchannel plate with a hole pitch (centre-to-centre spacing) of 12 µm or less; or
6.A.2.a.2.b.2.b.	An electron sensing device with a non-binned pixel pitch of 500 µm or less, specially designed or modified to achieve 'charge multiplication' other than by a microchannel plate; and
6.A.2.a.2.b.3.	"III/V compound" semiconductor (e.g., GaAs or GaInAs) photocathodes and transferred electron photocathodes, having a maximum "radiant sensitivity" exceeding 15 mA/W;

6.A.2.a.2.c.	Specially designed components as follows:
6.A.2.a.2.c.1.	Microchannel plates having a hole pitch (centre-to-centre spacing) of 12 µm or less;
6.A.2.a.2.c.2.	An electron sensing device with a non-binned pixel pitch of 500 µm or less, specially designed or modified to achieve 'charge multiplication' other than by a microchannel plate;
6.A.2.a.2.c.3.	"III/V compound" semiconductor (e.g., GaAs or GaInAs) photocathodes and transferred electron photocathodes;
6.A.2.a.2.c.3.Note.	6.A.2.a.2.c.3. does not apply to compound semiconductor photocathodes designed to achieve a maximum "radiant sensitivity" of any of the following:
6.A.2.a.2.c.3.Note.a.	10 mA/W or less at the peak response in the wavelength range exceeding 400 nm but not exceeding 1,050 nm; or
6.A.2.a.2.c.3.Note.b.	15 mA/W or less at the peak response in the wavelength range exceeding 1,050 nm but not exceeding 1,800 nm.

6.A.2.a.3.	Non-"space-qualified" "focal plane arrays" as follows:
6.A.2.a.3.N.B. 	'Microbolometer' non-"space-qualified" "focal plane arrays" are only specified by 6.A.2.a.3.f.

6.A.2.a.3.Technical Note.	Linear or two-dimensional multi-element detector arrays are referred to as "focal plane arrays";
6.A.2.a.3.Note 1.	6.A.2.a.3. includes photoconductive arrays and photovoltaic arrays.
6.A.2.a.3.Note 2.	6.A.2.a.3. does not apply to:
6.A.2.a.3.Note 2.a.	Multi-element (not to exceed 16 elements) encapsulated photoconductive cells using either lead sulphide or lead selenide;
6.A.2.a.3.Note 2.b.	Pyroelectric detectors using any of the following:
6.A.2.a.3.Note 2.b.1.	Triglycine sulphate and variants;
6.A.2.a.3.Note 2.b.2.	Lead-lanthanum-zirconium titanate and variants;
6.A.2.a.3.Note 2.b.3.	Lithium tantalate;
6.A.2.a.3.Note 2.b.4.	Polyvinylidene fluoride and variants; or
6.A.2.a.3.Note 2.b.5.	Strontium barium niobate and variants.
6.A.2.a.3.Note 2.c.	"Focal plane arrays" specially designed or modified to achieve 'charge multiplication' and limited by design to have a maximum "radiant sensitivity" of 10 mA/W or less for wavelengths exceeding 760 nm, having all of the following:
6.A.2.a.3.Note 2.c.1.	Incorporating a response limiting mechanism designed not to be removed or modified; and
6.A.2.a.3.Note 2.c.2.	Any of the following:
6.A.2.a.3.Note 2.c.2.a.	The response limiting mechanism is integral to or combined with the detector element; or
6.A.2.a.3.Note 2.c.2.b.	The "focal plane array" is only operable with the response limiting mechanism in place.

6.A.2.a.3.Note 2.c.Technical Note.	A response limiting mechanism integral to the detector element is designed not to be removed or modified without rendering the detector inoperable.
6.A.2.a.3.Note 2.d.	Thermopile arrays having less than 5,130 elements;

6.A.2.a.3.a.	Non-"space-qualified" "focal plane arrays" having all of the following:
6.A.2.a.3.a.1.	Individual elements with a peak response within the wavelength range exceeding 900 nm but not exceeding 1,050 nm; and
6.A.2.a.3.a.2.	Any of the following:
6.A.2.a.3.a.2.a.	A response "time constant" of less than 0.5 ns; or
6.A.2.a.3.a.2.b.	Specially designed or modified to achieve 'charge multiplication' and having a maximum "radiant sensitivity" exceeding 10 mA/W;

6.A.2.a.3.b.	Non-"space-qualified" "focal plane arrays" having all of the following:
6.A.2.a.3.b.1.	Individual elements with a peak response in the wavelength range exceeding 1,050 nm but not exceeding 1,200 nm; and
6.A.2.a.3.b.2.	Any of the following:
6.A.2.a.3.b.2.a.	A response "time constant" of 95 ns or less; or
6.A.2.a.3.b.2.b.	Specially designed or modified to achieve 'charge multiplication' and having a maximum "radiant sensitivity" exceeding 10 mA/W;

6.A.2.a.3.c.	Non-"space-qualified" non-linear (2-dimensional) "focal plane arrays" having individual elements with a peak response in the wavelength range exceeding 1,200 nm but not exceeding 30,000 nm;
6.A.2.a.3.c.N.B.	Silicon and other material based 'microbolometer' non-"space-qualified" "focal plane arrays" are only specified by 6.A.2.a.3.f.

6.A.2.a.3.d.	Non-"space-qualified" linear (1-dimensional) "focal plane arrays" having all of the following :
6.A.2.a.3.d.1.	Individual elements with a peak response in the wavelength range exceeding 1,200 nm but not exceeding 3,000 nm; and
6.A.2.a.3.d.2.	Any of the following:
6.A.2.a.3.d.2.a.	A ratio of 'scan direction' dimension of the detector element to the 'cross-scan direction' dimension of the detector element of less than 3.8; or
6.A.2.a.3.d.2.b.	Signal processing in the detector elements;
6.A.2.a.3.d.Note.	6.A.2.a.3.d. does not apply to "focal plane arrays" (not to exceed 32 elements) having detector elements limited solely to germanium material.

6.A.2.a.3.d.Technical Note.	For the purposes of 6.A.2.a.3.d., 'cross-scan direction' is defined as the axis parallel to the linear array of detector elements and the 'scan direction' is defined as the axis perpendicular to the linear array of detector elements.

6.A.2.a.3.e.	Non-"space-qualified" linear (1-dimensional) "focal plane arrays" having individual elements with a peak response in the wavelength range exceeding 3,000 nm but not exceeding 30,000 nm;

6.A.2.a.3.f.	Non-"space-qualified" non-linear (2-dimensional) infrared "focal plane arrays" based on 'microbolometer' material having individual elements with an unfiltered response in the wavelength range equal to or exceeding 8,000 nm but not exceeding 14,000 nm; 

6.A.2.a.3.f.Technical Note.	For the purposes of 6.A.2.a.3.f., 'microbolometer' is defined as a thermal imaging detector that, as a result of a temperature change in the detector caused by the absorption of infrared radiation, is used to generate any usable signal.

6.A.2.a.3.g.	Non-"space-qualified" "focal plane arrays" having all of the following: 
6.A.2.a.3.g.1.	Individual detector elements with a peak response in the wavelength range exceeding 400 nm but not exceeding 900 nm;
6.A.2.a.3.g.2.	Specially designed or modified to achieve 'charge multiplication' and having a maximum "radiant sensitivity" exceeding 10 mA/W for wavelengths exceeding 760 nm; and
6.A.2.a.3.g.3.	Greater than 32 elements;

6.A.2.b.	"Monospectral imaging sensors" and "multispectral imaging sensors", designed for remote sensing applications and having any of the following:
6.A.2.b.1.	An Instantaneous-Field-Of-View (IFOV) of less than 200 µrad (microradians); or
6.A.2.b.2.	Specified for operation in the wavelength range exceeding 400 nm but not exceeding 30,000 nm and having all the following; 
6.A.2.b.2.a.	Providing output imaging data in digital format; and
6.A.2.b.2.b.	Having any of the following characteristics:
6.A.2.b.2.b.1.	"Space-qualified"; or
6.A.2.b.2.b.2.	Designed for airborne operation, using other than silicon detectors, and having an IFOV of less than 2.5  mrad (milliradians);
6.A.2.b.Note.	6.A.2.b.1. does not apply to "monospectral imaging sensors" with a peak response in the wavelength range exceeding 300 nm but not exceeding 900 nm and only incorporating any of the following non-"space-qualified" detectors or non-"space-qualified" "focal plane arrays":
6.A.2.b.Note.a.	Charge Coupled Devices (CCD) not designed or modified to achieve 'charge multiplication'; or
6.A.2.b.Note.b.	Complementary Metal Oxide Semiconductor (CMOS) devices not designed or modified to achieve 'charge multiplication'.

6.A.2.c.	'Direct view' imaging equipment incorporating any of the following:
6.A.2.c.1.	Image intensifier tubes having the characteristics listed in 6.A.2.a.2.a. or 6.A.2.a.2.b.;
6.A.2.c.2.	"Focal plane arrays" having the characteristics listed in 6.A.2.a.3.; or
6.A.2.c.3.	Solid state detectors specified by 6.A.2.a.1.;

6.A.2.c.Technical Note.	'Direct view' refers to imaging equipment that presents a visual image to a human observer without converting the image into an electronic signal for television display, and that cannot record or store the image photographically, electronically or by any other means.
6.A.2.c.Note.	6.A.2.c. does not apply to equipment as follows, when incorporating other than GaAs or GaInAs photocathodes:
6.A.2.c.Note.a.	Industrial or civilian intrusion alarm, traffic or industrial movement control or counting systems;
6.A.2.c.Note.b.	Medical equipment;
6.A.2.c.Note.c.	Industrial equipment used for inspection, sorting or analysis of the properties of materials;
6.A.2.c.Note.d.	Flame detectors for industrial furnaces;
6.A.2.c.Note.e.	Equipment specially designed for laboratory use.

6.A.2.d.	Special support components for optical sensors, as follows:
6.A.2.d.1.	"Space-qualified" cryocoolers;
6.A.2.d.2.	Non-"space-qualified" cryocoolers having a cooling source temperature below 218 K (-55°C), as follows:
6.A.2.d.2.a.	Closed cycle type with a specified Mean-Time-To-Failure (MTTF) or Mean-Time-Between-Failures (MTBF), exceeding 2,500 hours;
6.A.2.d.2.b.	Joule-Thomson (JT) self-regulating minicoolers having bore (outside) diameters of less than 8 mm;
6.A.2.d.3.	Optical sensing fibres specially fabricated either compositionally or structurally, or modified by coating, to be acoustically, thermally, inertially, electromagnetically or nuclear radiation sensitive;
6.A.2.d.3.Note.	6.A.2.d.3. does not apply to encapsulated optical sensing fibres specially designed for bore hole sensing applications.

6.A.2.e.	Not used since 2008

6.A.2.f.	'Read-out integrated circuits' ('ROIC') specially designed for "focal plane arrays" specified by 6.A.2.a.3.
6.A.2.f.Note.	6.A.2.f. does not apply to 'read-out integrated circuits' specially designed for civil automotive applications.

6.A.2.f.Technical Note.	A 'Read-Out Integrated Circuit' ('ROIC') is an integrated circuit designed to underlie or be bonded to a "focal plane array" ("FPA") and used to read-out (i.e., extract and register) signals produced by the detector elements.  At a minimum the 'ROIC' reads the charge from the detector elements by extracting the charge and applying a multiplexing function in a manner that retains the relative spatial position and orientation information of the detector elements for processing inside or outside the 'ROIC'.

6.A.3.	CAMERAS

6.A.3.	Cameras, systems or equipment, and components therefor, as follows:
6.A.3.a.	Instrumentation cameras and specially designed components therefor, as follows:
6.A.3.a.Note.	Instrumentation cameras, specified by 6.A.3.a.3. to 6.A.3.a.5., with modular structures should be evaluated by their maximum capability, using plug-ins available according to the camera manufacturer's specifications.
6.A.3.a.1.	Not used since 2017
