1.A.	SYSTEMS, EQUIPMENT AND COMPONENTS
1.A.4.a.Technical Notes.2.	Filter canisters include filter cartridges.
1.A.4.a.1.	"Biological agents";
1.A.4.a.2.	'Radioactive materials';
1.A.4.a.3.	Chemical warfare (CW) agents; or
1.A.4.a.4.	"Riot control agents”, including:
1.A.4.a.4.a.	-Bromobenzeneacetonitrile, (Bromobenzyl cyanide) (CA)
1.A.4.a.4.a.	(CAS 5798-79-8);
1.A.4.a.4.b.	[(2-chlorophenyl) methylene] propanedinitrile,
1.A.4.a.4.b.	(o-Chlorobenzylidenemalononitrile) (CS) (CAS 2698-41-1);
1.A.4.a.4.c.	2-Chloro-1-phenylethanone, Phenylacyl chloride(-chloroacetophenone) (CN) (CAS 532-27-4);
1.A.4.a.4.d.	Dibenz-(b,f)-1,4-oxazephine, (CR) (CAS 257-07-8);
1.A.4.a.4.e.	10-Chloro-5,10-dihydrophenarsazine, (Phenarsazine chloride), (Adamsite), (DM) (CAS 578-94-9);
1.A.4.a.4.f.	N-Nonanoylmorpholine, (MPA) (CAS 5299-64-9);
1.A.4.b.	Protective suits, gloves and shoes, specially designed or modified for defence against any of the following:
1.A.4.b.1.	"Biological agents";
1.A.4.b.2.	'Radioactive materials'; or
1.A.4.b.3.	Chemical warfare (CW) agents;
1.A.4.c.	Detection systems, specially designed or modified for detection or identification of any of the following, and specially designed components therefor:
1.A.4.c.1.	"Biological agents";
1.A.4.c.2.	'Radioactive materials'; or
1.A.4.c.3.	Chemical warfare (CW) agents.
1.A.4.d.	Electronic equipment designed for automatically detecting or identifying the presence of "explosives" residues and utilising 'trace detection' techniques (e.g., surface acoustic wave, ion mobility spectrometry, differential mobility spectrometry, mass spectrometry).

1.A.4.d.Technical Note.	'Trace detection' is defined as the capability to detect less than 1 ppm vapour, or 1 mg solid or liquid.
1.A.4.d.Note 1.	1.A.4.d. does not apply to equipment specially designed for laboratory use.
1.A.4.d.Note 2.	1.A.4.d. does not apply to non-contact walk-through security portals.
1.A.4.Note.	1.A.4. does not apply to:
1.A.4.Note.a.	Personal radiation monitoring dosimeters;
1.A.4.Note.b.	Occupational health or safety equipment limited by design or function to protect against hazards specific to residential safety or civil industries, including:
1.A.4.Note.b.1.	mining;
1.A.4.Note.b.2.	quarrying;
1.A.4.Note.b.3.	agriculture;
1.A.4.Note.b.4.	pharmaceutical;
1.A.4.Note.b.5.	medical;
1.A.4.Note.b.6.	veterinary;
1.A.4.Note.b.7.	environmental;
1.A.4.Note.b.8.	waste management;
1.A.4.Note.b.9.	food industry.

1.A.4.Technical Notes.1.	1.A.4. includes equipment and components that have been identified, successfully tested to national standards or otherwise proven effective, for the detection of or defence against 'radioactive materials', "biological agents", chemical warfare agents, 'simulants' or  "riot control agents", even if such equipment or components are used in civil industries such as mining, quarrying, agriculture, pharmaceuticals, medical, veterinary, environmental, waste management, or the food industry.
1.A.4.Technical Notes.2.	'Simulant': A substance or material that is used in place of toxic agent (chemical or biological) in training, research, testing or evaluation.
1.A.4.Technical Notes.3.	For the purposes of 1.A.4., 'radioactive materials' are those selected or modified to increase their effectiveness in producing casualties in humans or animals, degrading equipment or damaging crops or the environment.
1.A.5.	Body armour and components therefor, as follows:
1.A.5.a.	Soft body armour not manufactured to military standards or specifications, or to their equivalents, and specially designed components therefor;
1.A.5.b.	Hard body armour plates providing ballistic protection equal to or less than level IIIA (NIJ 0101.06, July 2008) or national equivalents.
1.A.5.N.B.1.	For "fibrous or filamentary materials" used in the manufacture of body armour, see entry 1.C.10.
1.A.5.N.B.2.	For body armour manufactured to military standards or specifications, see entry ML13.d.
1.A.5.Note 1.	1.A.5. does not apply to body armour when accompanying its user for the user's own personal protection.
1.A.5.Note 2.	1.A.5. does not apply to body armour designed to provide frontal protection only from both fragment and blast from non-military explosive devices.
1.A.5.Note 3.	1.A.5. does not apply to body armour designed to provide protection only from knife, spike, needle or blunt trauma.
1.A.6.	Equipment, specially designed or modified for the disposal of improvised explosive devices, as follows, and specially designed components and accessories therefor:
1.A.6.a.	Remotely operated vehicles;
1.A.6.b.	'Disruptors';

1.A.6.b.Technical Note.	'Disruptors' – Devices specially designed for the purpose of preventing the operation of an explosive device by projecting a liquid, solid or frangible projectile.
1.A.6.N.B.	For equipment specially designed for military use for the disposal of improvised explosive devices, see also ML4.
1.A.6.Note.	1.A.6. does not apply to equipment when accompanying its operator .
1.A.7.	Equipment and devices, specially designed to initiate charges and devices containing "energetic materials", by electrical means, as follows:
1.A.7.a.	Explosive detonator firing sets designed to drive explosive detonators specified by 1.A.7.b.
1.A.7.b.	Electrically driven explosive detonators as follows:
1.A.7.b.1.	Exploding bridge (EB);
1.A.7.b.2.	Exploding bridge wire (EBW);
1.A.7.b.3.	Slapper;
1.A.7.b.4.	Exploding foil initiators (EFI).

1.A.7.Technical Notes.1.	The word initiator or igniter is sometimes used in place of the word detonator.
1.A.7.Technical Notes.2.	For the purpose of 1.A.7.b. the detonators of concern all utilise a small electrical conductor (bridge, bridge wire, or foil) that explosively vaporises when a fast, high-current electrical pulse is passed through it. In non-slapper types, the exploding conductor starts a chemical detonation in a contacting high explosive material such as PETN (pentaerythritoltetranitrate). In slapper detonators, the explosive vaporisation of the electrical conductor drives a flyer or slapper across a gap, and the impact of the slapper on an explosive starts a chemical detonation. The slapper in some designs is driven by magnetic force. The term exploding foil detonator may refer to either an EB or a slapper-type detonator.
1.A.7.N.B.	For equipment and devices specially designed for military use see the Munitions List.
1.A.8.	Charges, devices and components, as follows:
1.A.8.a.	'Shaped charges' having all of the following:
1.A.8.a.1.	Net Explosive Quantity (NEQ) greater than 90 g; and
1.A.8.a.2.	Outer casing diameter equal to or greater than 75 mm;
1.A.8.b.	Linear shaped cutting charges having all of the following, and specially designed components therefor:
1.A.8.b.1.	An explosive load greater than 40 g/m; and
1.A.8.b.2.	A width of 10 mm or more;
1.A.8.c.	Detonating cord with explosive core load greater than 64 g/m;
1.A.8.d.	Cutters, other than those specified by 1.A.8.b., and severing tools, having a NEQ greater than 3.5 kg.
1.A.8.Note.	The only charges and devices specified in 1.A.8. are those containing "explosives" listed in the Annex to Category 1 and mixtures thereof.

1.A.8.Technical Note.	'Shaped charges' are explosive charges shaped to focus the effects of the explosive blast.
1.B.	TEST, INSPECTION AND PRODUCTION EQUIPMENT
1.B.1.	Equipment for the production or inspection of "composite" structures or laminates specified by 1.A.2. or "fibrous or filamentary materials" specified by 1.C.10., as follows, and specially designed components and accessories therefor:
1.B.1.a.	Filament winding machines, of which the motions for positioning, wrapping and winding fibres are coordinated and programmed in three or more 'primary servo positioning' axes, specially designed for the manufacture of "composite" structures or laminates, from "fibrous or filamentary materials";
1.B.1.b.	'Tape-laying machines', of which the motions for positioning and laying tape are coordinated and programmed in five or more 'primary servo positioning' axes, specially designed for the manufacture of "composite" airframe or missile structures;

1.B.1.b.Technical Note.	For the purposes of 1.B.1.b., 'tape-laying machines' have the ability to lay one or more 'filament bands' limited to widths greater than 25.4 mm and less than or equal to 304.8 mm, and to cut and restart individual 'filament band' courses during the laying process.
1.B.1.c.	Multidirectional, multidimensional weaving machines or interlacing machines, including adapters and modification kits, specially designed or modified for weaving, interlacing or braiding fibres for "composite" structures;

1.B.1.c.Technical Note.	For the purposes of 1.B.1.c., the technique of interlacing includes knitting.
1.B.1.d.	Equipment specially designed or adapted for the production of reinforcement fibres, as follows:
1.B.1.d.1.	Equipment for converting polymeric fibres (such as polyacrylonitrile, rayon, pitch or polycarbosilane) into carbon fibres or silicon carbide fibres, including special equipment to strain the fibre during heating;
1.B.1.d.2.	Equipment for the chemical vapour deposition of elements or compounds, on heated filamentary substrates, to manufacture silicon carbide fibres;
1.B.1.d.3.	Equipment for the wet-spinning of refractory ceramics (such as aluminium oxide);
1.B.1.d.4.	Equipment for converting aluminium containing precursor fibres into alumina fibres by heat treatment;
1.B.1.e.	Equipment for producing prepregs specified by 1.C.10.e. by the hot melt method;
1.B.1.f.	Non-destructive inspection equipment specially designed for "composite" materials, as follows:
1.B.1.f.1.	X-ray tomography systems for three dimensional defect inspection;
1.B.1.f.2.	Numerically controlled ultrasonic testing machines of which the motions for positioning transmitters or receivers are simultaneously coordinated and programmed in four or more axes to follow the three dimensional contours of the component under inspection;
1.B.1.g.	'Tow-placement machines', of which the motions for positioning and laying tows are coordinated and programmed in two or more 'primary servo positioning' axes, specially designed for the manufacture of "composite" airframe or missile structures.

1.B.1.g.Technical Note.	For the purposes of 1.B.1.g., 'tow-placement machines' have the ability to place one or more 'filament bands' having widths less than or equal to 25.4 mm, and to cut and restart individual 'filament band' courses during the placement process.

1.B.1.Technical Notes.1.	For the purposes of 1.B.1., 'primary servo positioning' axes control, under computer program direction, the position of the end effector (i.e., head) in space relative to the work piece at the correct orientation and direction to achieve the desired process.
1.B.1.Technical Notes.2.	For the purposes of 1.B.1., a 'filament band' is a single continuous width of fully or partially resin-impregnated tape, tow or fibre.  Fully or partially resin-impregnated 'filament bands' include those coated with dry powder that tacks upon heating.
1.B.2.	Equipment for producing metal alloys, metal alloy powder or alloyed materials, specially designed to avoid contamination and specially designed for use in one of the processes specified by 1.C.2.c.2.
1.B.3.	Tools, dies, moulds or fixtures, for "superplastic forming" or "diffusion bonding" titanium, aluminium or their alloys, specially designed for the manufacture of any of the following:
1.B.3.a.	Airframe or aerospace structures;
1.B.3.b.	"Aircraft" or aerospace engines; or
1.B.3.c.	Specially designed components for structures specified by 1.B.3.a. or for engines specified by 1.B.3.b.
1.C.	MATERIALS

1.C.Technical Note.	Metals and alloys
1.C.Technical Note.	Unless provision to the contrary is made, the words 'metals' and 'alloys' cover crude and semi-fabricated forms, as follows:
1.C.Technical Note.	Crude forms
1.C.Technical Note.	Anodes, balls, bars (including notched bars and wire bars), billets, blocks, blooms, brickets, cakes, cathodes, crystals, cubes, dice, grains, granules, ingots, lumps, pellets, pigs, powder, rondelles, shot, slabs, slugs, sponge, sticks;

1.C.Technical Note.	Semi-fabricated forms (whether or not coated, plated, drilled or punched):
1.C.Technical Note.a.	Wrought or worked materials fabricated by rolling, drawing, extruding, forging, impact extruding, pressing, graining, atomising, and grinding, i.e.: angles, channels, circles, discs, dust, flakes, foils and leaf, forging, plate, powder, pressings and stampings, ribbons, rings, rods (including bare welding rods, wire rods, and rolled wire), sections, shapes, sheets, strip, pipe and tubes (including tube rounds, squares, and hollows), drawn or extruded wire;
1.C.Technical Note.b.	Cast material produced by casting in sand, die, metal, plaster or other types of moulds, including high pressure castings, sintered forms, and forms made by powder metallurgy.
1.C.Technical Note.	The object of the control should not be defeated by the export of non-listed forms alleged to be finished products but representing in reality crude forms or semi-fabricated forms.
1.C.1.	Materials specially designed for absorbing electromagnetic radiation, or intrinsically conductive polymers, as follows:
1.C.1.a.	Materials for absorbing frequencies exceeding 2 x 108 Hz but less than 3 x 1012 Hz;
1.C.1.a.Note 1.	1.C.1.a. does not apply to:
1.C.1.a.Note 1.a.	Hair type absorbers, constructed of natural or synthetic fibres, with non-magnetic loading to provide absorption;
1.C.1.a.Note 1.b.	Absorbers having no magnetic loss and whose incident surface is non-planar in shape, including pyramids, cones, wedges and convoluted surfaces;
1.C.1.a.Note 1.c.	Planar absorbers, having all of the following:
1.C.1.a.Note 1.c.1.	Made from any of the following:
1.C.1.a.Note 1.c.1.a.	Plastic foam materials (flexible or non-flexible) with carbon-loading, or organic materials, including binders, providing more than 5% echo compared with metal over a bandwidth exceeding ±15% of the centre frequency of the incident energy, and not capable of withstanding temperatures exceeding 450 K (177° C); or
1.C.1.a.Note 1.c.1.b.	Ceramic materials providing more than 20% echo compared with metal over a bandwidth exceeding ±15% of the centre frequency of the incident energy, and not capable of withstanding temperatures exceeding 800 K (527°C);

1.C.1.a.Note 1.c.1.Technical Note.	Absorption test samples for 1.C.1.a. Note 1.c.1. should be a square at least 5 wavelengths of the centre frequency on a side and positioned in the far field of the radiating element.
1.C.1.a.Note 1.c.2.	Tensile strength less than 7 x 106 N/m2; and
1.C.1.a.Note 1.c.3.	Compressive strength less than 14 x 106 N/m2;
1.C.1.a.Note 1.d.	Planar absorbers made of sintered ferrite, having all of the following:
1.C.1.a.Note 1.d.1.	A specific gravity exceeding 4.4; and
1.C.1.a.Note 1.d.2.	A maximum operating temperature of 548 K (275°C);

1.C.1.a.Note 1.e.	Planar absorbers having no magnetic loss and fabricated from 'open-cell foam' plastic material with a density of 0.15 grams/cm3 or less.

1.C.1.a.Note 1.e.Technical Note.	'Open-cell foams' are flexible and porous materials, having an inner structure open to the atmosphere.  'Open-cell foams' are also known as reticulated foams.
1.C.1.a.Note 2.	Nothing in Note 1 releases magnetic materials to provide absorption when contained in paint.
1.C.1.b.	Materials not transparent to visible light and specially designed for absorbing near-infrared radiation having a wavelength exceeding 810 nm but less than 2000 nm (frequencies exceeding 150 THz but less than 370 THz);
1.C.1.b.Note.	1.C.1.b. does not apply to materials, specially designed or formulated for any of the following applications:
1.C.1.b.Note.a.	"Laser" marking of polymers; or
1.C.1.b.Note.b.	"Laser" welding of polymers.
1.C.1.c.	Intrinsically conductive polymeric materials with a 'bulk electrical conductivity' exceeding 10,000 S/m (Siemens per metre) or a 'sheet (surface) resistivity' of less than 100 ohms/square, based on any of the following polymers:
1.C.1.c.1.	Polyaniline;
1.C.1.c.2.	Polypyrrole;
1.C.1.c.3.	Polythiophene;
1.C.1.c.4.	Poly phenylene-vinylene; or
1.C.1.c.5.	Poly thienylene-vinylene.

1.C.1.c.Technical Note.	'Bulk electrical conductivity' and 'sheet (surface) resistivity' should be determined using ASTM D-257 or national equivalents.
1.C.1.c.Note.	1.C.1.c. does not apply to materials in a liquid form.
1.C.2.	Metal alloys, metal alloy powder and alloyed materials, as follows:
1.C.2.Note.	1.C.2. does not apply to metal alloys, metal alloy powder and alloyed materials, specially formulated for coating purposes.

1.C.2.Technical Notes.1.	The metal alloys in 1.C.2. are those containing a higher percentage by weight of the stated metal than of any other element.
1.C.2.Technical Notes.2.	'Stress-rupture life' should be measured in accordance with ASTM standard E-139 or national equivalents.
1.C.2.Technical Notes.3.	'Low cycle fatigue life' should be measured in accordance with ASTM Standard E-606 'Recommended Practice for Constant-Amplitude Low-Cycle Fatigue Testing' or national equivalents. Testing should be axial with an average stress ratio equal to 1 and a stress-concentration factor (Kt) equal to 1. The average stress is defined as maximum stress minus minimum stress divided by maximum stress.
1.C.2.a.	Aluminides, as follows:
1.C.2.a.1.	Nickel aluminides containing a minimum of 15% by weight aluminium, a maximum of 38% by weight aluminium and at least one additional alloying element;
1.C.2.a.2.	Titanium aluminides containing 10% by weight or more aluminium and at least one additional alloying element;
1.C.2.b.	Metal alloys, as follows, made from the powder or particulate material specified by 1.C.2.c.:
1.C.2.b.1.	Nickel alloys having any of the following:
1.C.2.b.1.a.	A 'stress-rupture life' of 10,000 hours or longer at 923 K (650°C) at a stress of 676 MPa; or
1.C.2.b.1.b.	A 'low cycle fatigue life' of 10,000 cycles or more at 823 K (550°C) at a maximum stress of 1,095 MPa;
1.C.2.b.2.	Niobium alloys having any of the following:
1.C.2.b.2.a.	A 'stress-rupture life' of 10,000 hours or longer at 1,073 K (800°C) at a stress of 400 MPa; or
1.C.2.b.2.b.	A 'low cycle fatigue life' of 10,000 cycles or more at 973 K (700°C) at a maximum stress of 700 MPa;
1.C.2.b.3.	Titanium alloys having any of the following:
1.C.2.b.3.a.	A 'stress-rupture life' of 10,000 hours or longer at 723 K (450°C) at a stress of 200 MPa; or
1.C.2.b.3.b.	A 'low cycle fatigue life' of 10,000 cycles or more at 723 K (450°C) at a maximum stress of 400 MPa;
1.C.2.b.4.	Aluminium alloys having any of the following:
1.C.2.b.4.a.	A tensile strength of 240 MPa or more at 473 K (200°C); or
1.C.2.b.4.b.	A tensile strength of 415 MPa or more at 298 K (25°C);
1.C.2.b.5.	Magnesium alloys having all of the following:
1.C.2.b.5.a.	A tensile strength of 345 MPa or more; and 
1.C.2.b.5.b.	A corrosion rate of less than 1 mm/year in 3% sodium chloride aqueous solution measured in accordance with ASTM standard G-31 or national equivalents;
1.C.2.c.	Metal alloy powder or particulate material, having all of the following:
1.C.2.c.1.	Made from any of the following composition systems:

1.C.2.c.1.Technical Note.	X in the following equals one or more alloying elements.
1.C.2.c.1.a.	Nickel alloys (Ni-Al-X, Ni-X-Al) qualified for turbine engine parts or components, i.e. with less than 3 non-metallic particles (introduced during the manufacturing process) larger than 100 µm in 109 alloy particles;
1.C.2.c.1.b.	Niobium alloys (Nb-Al-X or Nb-X-Al, Nb-Si-X or Nb-X-Si, Nb-Ti-X or Nb-X-Ti);
1.C.2.c.1.c.	Titanium alloys (Ti-Al-X or Ti-X-Al);
1.C.2.c.1.d.	Aluminium alloys (Al-Mg-X or Al-X-Mg, Al-Zn-X or Al-X-Zn, 
1.C.2.c.1.d.	Al-Fe-X or Al-X-Fe); or
1.C.2.c.1.e.	Magnesium alloys (Mg-Al-X or Mg-X-Al); 
1.C.2.c.2.	Made in a controlled environment by any of the following processes:
1.C.2.c.2.a.	'Vacuum atomisation';
1.C.2.c.2.b.	'Gas atomisation';
1.C.2.c.2.c.	'Rotary atomisation';
1.C.2.c.2.d.	'Splat quenching';
1.C.2.c.2.e.	'Melt spinning' and 'comminution';
1.C.2.c.2.f.	'Melt extraction' and 'comminution'; 
1.C.2.c.2.g.	'Mechanical alloying'; or
1.C.2.c.2.h.	'Plasma atomisation'; and
1.C.2.c.3.	Capable of forming materials specified by 1.C.2.a. or 1.C.2.b.;
1.C.2.d.	Alloyed materials having all of the following:
1.C.2.d.1.	Made from any of the composition systems specified by 1.C.2.c.1.;
1.C.2.d.2.	In the form of uncomminuted flakes, ribbons or thin rods; and
1.C.2.d.3.	Produced in a controlled environment by any of the following:
1.C.2.d.3.a.	'Splat quenching';
1.C.2.d.3.b.	'Melt spinning'; or
1.C.2.d.3.c.	'Melt extraction';

Technical Notes.1.	'Vacuum atomisation' is a process to reduce a molten stream of metal to droplets of a diameter of 500 μm or less by the rapid evolution of a dissolved gas upon exposure to a vacuum.
Technical Notes.2.	'Gas atomisation' is a process to reduce a molten stream of metal alloy to droplets of 500 μm diameter or less by a high pressure gas stream.
Technical Notes.3.	'Rotary atomisation' is a process to reduce a stream or pool of molten metal to droplets to a diameter of 500 μm or less by centrifugal force.
Technical Notes.4.	'Splat quenching' is a process to 'solidify rapidly' a molten metal stream impinging upon a chilled block, forming a flake-like product.
Technical Notes.5.	'Melt spinning' is a process to 'solidify rapidly' a molten metal stream impinging upon a rotating chilled block, forming a flake, ribbon or rod-like product.
Technical Notes.6.	'Comminution' is a process to reduce a material to particles by crushing or grinding.
Technical Notes.7.	'Melt extraction' is a process to 'solidify rapidly' and extract a ribbon-like alloy product by the insertion of a short segment of a rotating chilled block into a bath of a molten metal alloy.
Technical Notes.8.	'Mechanical alloying' is an alloying process resulting from the bonding, fracturing and rebonding of elemental and master alloy powders by mechanical impact. Non-metallic particles may be incorporated in the alloy by addition of the appropriate powders.
Technical Notes.9.	'Plasma atomisation' is a process to reduce a molten stream or solid metal to droplets of 500 μm diameter or less, using plasma torches in an inert gas environment.
Technical Notes.10.	'Solidify rapidly' is a process involving the solidification of molten material at cooling rates exceeding 1000 K/sec.
1.C.3.	Magnetic metals, of all types and of whatever form, having any of the following:
1.C.3.a.	Initial relative permeability of 120,000 or more and a thickness of 0.05 mm or less;

1.C.3.a.Technical Note.	Measurement of initial relative permeability must be performed on fully annealed materials.
1.C.3.b.	Magnetostrictive alloys having any of the following:
1.C.3.b.1.	A saturation magnetostriction of more than 5 x 10-4; or
1.C.3.b.2.	A magnetomechanical coupling factor (k) of more than 0.8; or
1.C.3.c.	Amorphous or 'nanocrystalline' alloy strips, having all of the following:
1.C.3.c.1.	A composition having a minimum of 75% by weight of iron, cobalt or nickel; 
1.C.3.c.2.	A saturation magnetic induction (Bs) of 1.6 T or more; and
1.C.3.c.3.	Any of the following:
1.C.3.c.3.a.	A strip thickness of 0.02 mm or less; or
1.C.3.c.3.b.	An electrical resistivity of 2 x 10-4 ohm cm or more.

1.C.3.c.Technical Note.	'Nanocrystalline' materials in 1.C.3.c. are those materials having a crystal grain size of 50 nm or less, as determined by X-ray diffraction.
1.C.4.	Uranium titanium alloys or tungsten alloys with a "matrix" based on iron, nickel or copper, having all of the following:
1.C.4.a.	A density exceeding 17.5 g/cm3;
1.C.4.b.	An elastic limit exceeding 880 MPa;
1.C.4.c.	An ultimate tensile strength exceeding 1,270 MPa; and
1.C.4.d.	An elongation exceeding 8%.
1.C.5.	"Superconductive" "composite" conductors in lengths exceeding 100 m or with a mass exceeding 100 g, as follows:
1.C.5.a.	"Superconductive" "composite" conductors containing one or more niobium-titanium 'filaments', having all of the following:
1.C.5.a.1.	Embedded in a "matrix" other than a copper or copper-based mixed "matrix"; and
1.C.5.a.2.	Having a cross-section area less than 0.28 x 10-4 mm2 (6 µm in diameter for circular 'filaments');
1.C.5.b.	"Superconductive" "composite" conductors consisting of one or more "superconductive" 'filaments' other than niobium-titanium, having all of the following:
1.C.5.b.1.	A "critical temperature" at zero magnetic induction exceeding 9.85 K (-263.31°C); and
1.C.5.b.2.	Remaining in the "superconductive" state at a temperature of 4.2 K 
1.C.5.b.2.	(-268.96°C) when exposed to a magnetic field oriented in any direction perpendicular to the longitudinal axis of conductor and corresponding to a magnetic induction of 12 T with critical current density exceeding 1,750 A/mm2 on overall cross-section of the conductor.
1.C.5.c.	"Superconductive" "composite" conductors consisting of one or more "superconductive" 'filaments', which remain "superconductive" above 115 K (-158.16oC).

1.C.5.Technical Note.	For the purpose of 1.C.5., 'filaments' may be in wire, cylinder, film, tape or ribbon form.
1.C.6.	Fluids and lubricating materials, as follows:
1.C.6.a.	Not used since 2015
1.C.6.b.	Lubricating materials containing, as their principal ingredients, any of the following:
1.C.6.b.1.	Phenylene or alkylphenylene ethers or thio-ethers, or their mixtures, containing more than two ether or thio-ether functions or mixtures thereof; or
1.C.6.b.2.	Fluorinated silicone fluids with a kinematic viscosity of less than 5,000 mm2/s (5,000 centistokes) measured at 298 K (25°C);
1.C.6.c.	Damping or flotation fluids having all of the following:
1.C.6.c.1.	Purity exceeding 99.8%;
1.C.6.c.2.	Containing less than 25 particles of 200 µm or larger in size per 100 ml; and
1.C.6.c.3.	Made from at least 85% of any of the following: 
1.C.6.c.3.a.	Dibromotetrafluoroethane (CAS 25497-30-7, 124-73-2, 27336-23-8); 
1.C.6.c.3.b.	Polychlorotrifluoroethylene (oily and waxy modifications only); or
1.C.6.c.3.c.	Polybromotrifluoroethylene; 
1.C.6.d.	Fluorocarbon electronic cooling fluids having all of the following:
1.C.6.d.1.	Containing 85% by weight or more of any of the following, or mixtures thereof:
1.C.6.d.1.a.	Monomeric forms of perfluoropolyalkylether-triazines or perfluoroaliphatic-ethers;
1.C.6.d.1.b.	Perfluoroalkylamines;
1.C.6.d.1.c.	Perfluorocycloalkanes; or 
1.C.6.d.1.d.	Perfluoroalkanes;
1.C.6.d.2.	Density at 298 K (25°C) of 1.5 g/ml or more;
1.C.6.d.3.	In a liquid state at 273 K (0°C); and
1.C.6.d.4.	Containing 60% or more by weight of fluorine.
1.C.6.d.Note.	1.C.6.d. does not apply to materials specified and packaged as medical products.
1.C.7.	Ceramic powders, ceramic-"matrix" "composite" materials and 'precursor materials', as follows:
1.C.7.a.	Ceramic powders of titanium diboride (TiB2) (CAS 12045-63-5) having total metallic impurities, excluding intentional additions, of less than 5,000 ppm, an average particle size equal to or less than 5 µm and no more than 10% of the particles larger than 10 µm;
1.C.7.b.	Not used since 2016
1.C.7.c.	Ceramic-"matrix" "composite" materials as follows:
1.C.7.c.1.	Ceramic-ceramic "composite" materials with a glass or oxide-"matrix" and reinforced with any of the following:
1.C.7.c.1.a.	Continuous fibres made from any of the following materials: 
1.C.7.c.1.a.1.	Al2O3 (CAS 1344-28-1); or
1.C.7.c.1.a.2.	Si-C-N; or
1.C.7.c.1.a.Note.	1.C.7.c.1.a. does not apply to "composites" containing fibres with a tensile strength of less than 700 MPa at 1,273 K (1,000°C) or tensile creep resistance of more than 1% creep strain at 100 MPa load and 1,273 K (1,000°C) for 100 hours.
1.C.7.c.1.b.	Fibres being all of the following:
1.C.7.c.1.b.1.	Made from any of the following materials:
1.C.7.c.1.b.1.a.	Si-N;
1.C.7.c.1.b.1.b.	Si-C; 
1.C.7.c.1.b.1.c.	Si-Al-O-N; or
1.C.7.c.1.b.1.d.	Si-O-N; and
1.C.7.c.1.b.2.	Having a "specific tensile strength" exceeding 12.7 x 103m;
1.C.7.c.2.	Ceramic-"matrix" "composite" materials with a "matrix" formed of carbides or nitrides of silicon, zirconium or boron;
1.C.7.c.N.B.	For items previously specified by 1.C.7.c. see 1.C.7.c.1.b.
1.C.7.d.	Not used since 2016
1.C.7.d.N.B.	For items previously specified by 1.C.7.d. see 1.C.7.c.2.
1.C.7.e.	'Precursor materials' specially designed for the "production" of materials specified by 1.C.7.c., as follows:
1.C.7.e.1.	Polydiorganosilanes;
