
8.A.	SYSTEMS, EQUIPMENT AND COMPONENTS
8.A.2.o.3.	Noise reduction systems designed for use on vessels of 1,000 tonnes displacement or more, as follows:
8.A.2.o.3.a.	Systems that attenuate underwater noise at frequencies below 500 Hz and consist of compound acoustic mounts for the acoustic isolation of diesel engines, diesel generator sets, gas turbines, gas turbine generator sets, propulsion motors or propulsion reduction gears, specially designed for sound or vibration isolation and having an intermediate mass exceeding 30% of the equipment to be mounted;

8.A.2.o.3.b.	'Active noise reduction or cancellation systems' or magnetic bearings, specially designed for power transmission systems;

8.A.2.o.3.b.Technical Note.	'Active noise reduction or cancellation systems' incorporate electronic control systems capable of actively reducing equipment vibration by the generation of anti-noise or anti-vibration signals directly to the source.

8.A.2.p.	Pumpjet propulsion systems having all of the following:
8.A.2.p.1.	Power output exceeding 2.5 MW; and
8.A.2.p.2.	Using divergent nozzle and flow conditioning vane techniques to improve propulsive efficiency or reduce propulsion-generated underwater-radiated noise;

8.A.2.q.	Underwater swimming and diving equipment as follows:
8.A.2.q.1.	Closed circuit rebreathers;
8.A.2.q.2.	Semi-closed circuit rebreathers;
8.A.2.q.Note.	8.A.2.q. does not apply to individual rebreathers for personal use when accompanying their users.
8.A.2.q.N.B.	For equipment and devices specially designed for military use, see ML17.a. on the Munitions List.

8.A.2.r.	Diver deterrent acoustic systems specially designed or modified to disrupt divers and having a sound pressure level equal to or exceeding 190 dB (reference 1 µPa at 1 m) at frequencies of 200 Hz and below.
8.A.2.r.Note 1.	8.A.2.r. does not apply to diver deterrent systems based on underwater explosive devices, air guns or combustible sources.
8.A.2.r.Note 2.	8.A.2.r. includes diver deterrent acoustic systems that use spark gap sources, also known as plasma sound sources.


8.B.	TEST, INSPECTION AND PRODUCTION EQUIPMENT

8.B.1.	Water tunnels designed to have a background noise of less than 100 dB (reference 1 µPa, 1 Hz) within the frequency range exceeding 0 Hz but not exceeding 500 Hz and designed for measuring acoustic fields generated by a hydro-flow around propulsion system models.


8.C.	MATERIALS

8.C.1.	'Syntactic foam' designed for underwater use and having all of the following:
8.C.1.a.	Designed for marine depths exceeding 1,000 m; and
8.C.1.b.	A density less than 561 kg/m3.

8.C.1.Technical Note.	'Syntactic foam' consists of hollow spheres of plastic or glass embedded in a resin "matrix".
8.C.1.N.B.	See also 8.A.2.a.4.


8.D.	SOFTWARE

8.D.1.	"Software" specially designed or modified for the "development", "production" or "use" of equipment or materials, specified by 8.A., 8.B. or 8.C.

8.D.2.	Specific "software" specially designed or modified for the "development", "production", repair, overhaul or refurbishing (re-machining) of propellers specially designed for underwater noise reduction.


8.E.	TECHNOLOGY

8.E.1.	"Technology" according to the General Technology Note for the "development" or "production" of equipment or materials, specified by 8.A., 8.B. or 8.C.

8.E.2.	Other "technology" as follows:
8.E.2.a.	"Technology" for the "development", "production", repair, overhaul or refurbishing (re-machining) of propellers specially designed for underwater noise reduction;
8.E.2.b.	"Technology" for the overhaul or refurbishing of equipment specified by 8.A.1., 8.A.2.b., 8.A.2.j., 8.A.2.o. or 8.A.2.p.

8.E.2.c.	"Technology" according to the General Technology Note for the "development" or "production" of any of the following:
8.E.2.c.1.	Surface-effect vehicles (fully skirted variety) having all of the following:
8.E.2.c.1.a.	Maximum design speed, fully loaded, exceeding 30 knots in a significant wave height of 1.25 m or more;
8.E.2.c.1.b.	Cushion pressure exceeding 3,830 Pa; and
8.E.2.c.1.c.	Light-ship-to-full-load displacement ratio of less than 0.70;
8.E.2.c.2.	Surface-effect vehicles (rigid sidewalls) with a maximum design speed, fully loaded, exceeding 40 knots in a significant wave height of 3.25 m or more;
8.E.2.c.3.	Hydrofoil vessels with active systems for automatically controlling foil systems, with a maximum design speed, fully loaded, of 40 knots or more in a significant wave height of 3.25 m or more; or
8.E.2.c.4.	'Small waterplane area vessels' having any of the following:
8.E.2.c.4.a.	Full load displacement exceeding 500 tonnes with a maximum design speed, fully loaded, exceeding 35 knots in a significant wave height of 3.25 m or more; or
8.E.2.c.4.b.	Full load displacement exceeding 1,500 tonnes with a maximum design speed, fully loaded, exceeding 25 knots in a significant wave height of 4 m or more.

8.E.2.c.4.Technical Note.	A 'small waterplane area vessel' is defined by the following formula: waterplane area at an operational design draft less than 2x (displaced volume at the operational design draft)2/3.

