2.	MATERIALS PROCESSING
2.B.7.d.	Specially designed to operate at altitudes exceeding 30,000 m.
2.B.8.	'Compound rotary tables' and "tilting spindles", specially designed for machine tools, as follows: 
2.B.8.a.	Not used since 2017
2.B.8.b.	Not used since 2017
2.B.8.c.	'Compound rotary tables' having all of the following: 
2.B.8.c.1.	Designed for machine tools for turning, milling or grinding; and
2.B.8.c.2.	Two rotary axes designed to be coordinated simultaneously for "contouring control";

2.B.8.Technical Note.	A 'compound rotary table' is a table allowing the workpiece to rotate and tilt about two non-parallel axes.
2.B.8.d.	"Tilting spindles" having all of the following: 
2.B.8.d.1.	Designed for machine tools for turning, milling or grinding; and
2.B.8.d.2.	Designed to be coordinated simultaneously for "contouring control".
2.B.9.	Spin-forming machines and flow-forming machines, which, according to the manufacturer's technical specification, can be equipped with "numerical control" units or a computer control and having all of the following:
2.B.9.a.	Three or more axes which can be coordinated simultaneously for "contouring control"; and
2.B.9.b.	A roller force more than 60 kN.

2.B.9.Technical Note.	For the purpose of 2.B.9., machines combining the function of spin-forming and flow-forming are regarded as flow-forming machines.
2.C.	MATERIALS - None
2.D.	SOFTWARE
2.D.1.	"Software", other than that specified by 2.D.2., as follows:
2.D.1.a.	"Software" specially designed or modified for the "development" or "production" of equipment specified by 2.A. or 2.B.;
2.D.1.b.	"Software" specially designed or modified for the "use" of equipment specified by 2.A.1.c., 2.B.1., or 2.B.3. to 2.B.9.
2.D.1.Note.	2.D.1. does not apply to part programming "software" that generates "numerical control" codes for machining various parts.
2.D.2.	"Software" for electronic devices, even when residing in an electronic device or system, enabling such devices or systems to function as a "numerical control" unit, capable of co-ordinating simultaneously more than 4 axes for "contouring control".
2.D.2.Note 1.	2.D.2. does not apply to "software" specially designed or modified for the operation of items not specified by Category 2.
2.D.2.Note 2.	2.D.2. does not apply to "software" for items specified by 2.B.2.  See 2.D.1. and 2.D.3. for "software" for items specified by 2.B.2.
2.D.2.Note 3.	2.D.2. does not apply to "software" that is exported with, and the minimum necessary for the operation of, items not specified by Category 2.
2.D.3.	"Software", designed or modified for the operation of equipment specified by 2.B.2., that converts optical design, workpiece measurements and material removal functions into "numerical control" commands to achieve the desired workpiece form.
2.E.	TECHNOLOGY
2.E.1.	"Technology" according to the General Technology Note for the "development" of equipment or "software" specified by 2.A., 2.B. or 2.D.
2.E.1.Note.	2.E.1. includes "technology" for the integration of probe systems into coordinate measurement machines specified by 2.B.6.a.
2.E.2.	"Technology" according to the General Technology Note for the "production" of equipment specified by 2.A. or 2.B.
2.E.3.	Other "technology", as follows:
2.E.3.a.	Not used since 2017
2.E.3.b.	"Technology" for metal-working manufacturing processes, as follows:
2.E.3.b.1.	"Technology" for the design of tools, dies or fixtures specially designed for any of the following processes:
2.E.3.b.1.a.	"Superplastic forming";
2.E.3.b.1.b.	"Diffusion bonding"; or
2.E.3.b.1.c.	'Direct-acting hydraulic pressing';
2.E.3.b.2.	Technical data consisting of process methods or parameters as listed below used to control:
2.E.3.b.2.a.	"Superplastic forming" of aluminium alloys, titanium alloys or "superalloys":
2.E.3.b.2.a.1.	Surface preparation;
2.E.3.b.2.a.2.	Strain rate;
2.E.3.b.2.a.3.	Temperature;
2.E.3.b.2.a.4.	Pressure;
2.E.3.b.2.b.	"Diffusion bonding" of "superalloys" or titanium alloys:
2.E.3.b.2.b.1.	Surface preparation;
2.E.3.b.2.b.2.	Temperature;
2.E.3.b.2.b.3.	Pressure;
2.E.3.b.2.c.	'Direct-acting hydraulic pressing' of aluminium alloys or titanium alloys:
2.E.3.b.2.c.1.	Pressure;
2.E.3.b.2.c.2.	Cycle time;
2.E.3.b.2.d.	'Hot isostatic densification' of titanium alloys, aluminium alloys or "superalloys":
2.E.3.b.2.d.1.	Temperature;
2.E.3.b.2.d.2.	Pressure;
2.E.3.b.2.d.3.	Cycle time;

2.E.3.b.2.Technical Notes.1.	'Direct-acting hydraulic pressing' is a deformation process which uses a fluid-filled flexible bladder in direct contact with the workpiece.
2.E.3.b.2.Technical Notes.2.	'Hot isostatic densification' is a process of pressurising a casting at temperatures exceeding 375 K (102°C) in a closed cavity through various media (gas, liquid, solid particles, etc.) to create equal force in all directions to reduce or eliminate internal voids in the casting.
2.E.3.c.	"Technology" for the "development" or "production" of hydraulic stretch-forming machines and dies therefor, for the manufacture of airframe structures;
2.E.3.d.	Not used since 2017
2.E.3.e.	"Technology" for the "development" of integration "software" for incorporation of expert systems for advanced decision support of shop floor operations into "numerical control" units;
2.E.3.f.	"Technology" for the application of inorganic overlay coatings or inorganic surface modification coatings (specified in column 3 of the following table) to non-electronic substrates (specified in column 2 of the following table), by processes specified in column 1 of the following table and defined in the Technical Note.
2.E.3.f.N.B.	This Table should be read to specify the "technology" for a particular 'Coating Process' only when the Resultant Coating in column 3 is in a paragraph directly across from the relevant 'Substrate' under column 2.  For example, Chemical Vapour Deposition (CVD) 'coating process' technical data are included for the application of 'silicides' to 'Carbon-carbon, Ceramic and Metal "matrix" "composites" substrates, but are not included for the application of 'silicides' to 'Cemented tungsten carbide (16), Silicon carbide (18)' substrates.  In the second case, the resultant coating is not listed in the paragraph under column 3 directly across from the paragraph under column 2 listing 'Cemented tungsten carbide (16), Silicon carbide (18)'.
2.E.3.f.	TABLE - DEPOSITION TECHNIQUES
2.E.3.f.	Table omitted - check out the original documents (or complain to lukas@gsoa.ch).
2.E.3.f.Note.1.	The term 'coating process' includes coating repair and refurbishing as well as original coating.
2.E.3.f.Note.2.	The term 'alloyed aluminide coating' includes single or multiple-step coatings in which an element or elements are deposited prior to or during application of the aluminide coating, even if these elements are deposited by another coating process. It does not, however, include the multiple use of single-step pack cementation processes to achieve alloyed aluminides.
2.E.3.f.Note.3.	The term 'noble metal modified aluminide' coating includes multiple-step coatings in which the noble metal or noble metals are laid down by some other coating process prior to application of the aluminide coating.
2.E.3.f.Note.4.	The term 'mixtures thereof' includes infiltrated material, graded compositions, co-deposits and multilayer deposits and are obtained by one or more of the coating processes specified in the Table.
2.E.3.f.Note.5.	'MCrAlX' refers to a coating alloy where M equals cobalt, iron, nickel or combinations thereof and X equals hafnium, yttrium, silicon, tantalum in any amount or other intentional additions over 0.01% by weight in various proportions and combinations, except:
2.E.3.f.Note.5.a.	CoCrAlY coatings which contain less than 22% by weight of chromium, less than 7% by weight of aluminium and less than 2 weight percent of yttrium;
2.E.3.f.Note.5.b.	CoCrAlY coatings which contain 22 to 24% by weight of chromium, 10 to 12% by weight of aluminium and 0.5 to 0.7% by weight of yttrium; or
2.E.3.f.Note.5.c.	NiCrAlY coatings which contain 21 to 23% by weight of chromium, 10 to 12% by weight of aluminium and 0.9 to1.1% by weight of yttrium.
2.E.3.f.Note.6.	The term 'aluminium alloys' refers to alloys having an ultimate tensile strength of 190 MPa or more measured at 293 K (20°C).
2.E.3.f.Note.7.	The term 'corrosion resistant steel' refers to AISI (American Iron and Steel Institute) 300 series or equivalent national standard steels.
2.E.3.f.Note.8.	'Refractory metals and alloys' include the following metals and their alloys: niobium (columbium), molybdenum, tungsten and tantalum.
2.E.3.f.Note.9.	'Sensor window materials', as follows: alumina, silicon, germanium, zinc sulphide, zinc selenide, gallium arsenide, diamond, gallium phosphide, sapphire and the following metal halides: sensor window materials of more than 40 mm diameter for zirconium fluoride and hafnium fluoride.
2.E.3.f.Note.10.	Category 2 does not include "technology" for single-step pack cementation of solid airfoils.
2.E.3.f.Note.11.	'Polymers', as follows: polyimide, polyester, polysulphide, polycarbonates and polyurethanes.
2.E.3.f.Note.12.	'Modified zirconia' refers to additions of other metal oxides (e.g., calcia, magnesia, yttria, hafnia, rare earth oxides) to zirconia in order to stabilise certain crystallographic phases and phase compositions.  Thermal barrier coatings made of zirconia, modified with calcia or magnesia by mixing or fusion, are not included.
2.E.3.f.Note.13.	'Titanium alloys' refers only to aerospace alloys having an ultimate tensile strength of 900 MPa or more measured at 293 K (20°C).
2.E.3.f.Note.14.	'Low-expansion glasses' refers to glasses which have a coefficient of thermal expansion of 1 x 10-7 K-1 or less measured at 293 K (20°C).
2.E.3.f.Note.15.	'Dielectric layers' are coatings constructed of multi-layers of insulator materials in which the interference properties of a design composed of materials of various refractive indices are used to reflect, transmit or absorb various wavelength bands. Dielectric layers refers to more than four dielectric layers or dielectric/metal "composite" layers.
2.E.3.f.Note.16.	'Cemented tungsten carbide' does not include cutting and forming tool materials consisting of tungsten carbide/(cobalt, nickel), titanium carbide/(cobalt, nickel), chromium carbide/nickel-chromium and chromium carbide/nickel.
2.E.3.f.Note.17.	"Technology" for depositing diamond-like carbon on any of the following is not included: magnetic disk drives and heads, equipment for the manufacture of disposables, valves for faucets, acoustic diaphragms for speakers, engine parts for automobiles, cutting tools, punching-pressing dies, office automation equipment, microphones, medical devices or moulds, for casting or moulding of plastics, manufactured from alloys containing less than 5% beryllium.
2.E.3.f.Note.18.	'Silicon carbide' does not include cutting and forming tool materials.
2.E.3.f.Note.19.	Ceramic substrates, as used in this entry, does not include ceramic materials containing 5% by weight, or greater, clay or cement content, either as separate constituents or in combination.
2.E.3.f.Technical Note.	Processes specified in Column 1 of the Table are defined as follows:
2.E.3.f.Technical Note.a.	Chemical Vapour Deposition (CVD) is an overlay coating or surface modification coating process wherein a metal, alloy, "composite", dielectric or ceramic is deposited upon a heated substrate.  Gaseous reactants are decomposed or combined in the vicinity of a substrate resulting in the deposition of the desired elemental, alloy or compound material on the substrate.  Energy for this decomposition or chemical reaction process may be provided by the heat of the substrate, a glow discharge plasma, or "laser" irradiation.
2.E.3.f.Technical Note.a.N.B.1	CVD includes the following processes: directed gas flow out-of-pack deposition, pulsating CVD, controlled nucleation thermal deposition (CNTD), plasma enhanced or plasma assisted CVD processes.
2.E.3.f.Technical Note.a.N.B.2	Pack denotes a substrate immersed in a powder mixture.
2.E.3.f.Technical Note.a.N.B.3	The gaseous reactants used in the out-of-pack process are produced using the same basic reactions and parameters as the pack cementation process, except that the substrate to be coated is not in contact with the powder mixture.
2.E.3.f.Technical Note.b.	Thermal Evaporation-Physical Vapour Deposition (TE-PVD) is an overlay coating process conducted in a vacuum with a pressure less than 0.1 Pa wherein a source of thermal energy is used to vaporize the coating material.  This process results in the condensation, or deposition, of the evaporated species onto appropriately positioned substrates.
2.E.3.f.Technical Note.b.	The addition of gases to the vacuum chamber during the coating process to synthesize compound coatings is an ordinary modification of the process.
2.E.3.f.Technical Note.b.	The use of ion or electron beams, or plasma, to activate or assist the coating's deposition is also a common modification in this technique.  The use of monitors to provide in-process measurement of optical characteristics and thickness of coatings can be a feature of these processes.
2.E.3.f.Technical Note.b.	Specific TE-PVD processes are as follows:
2.E.3.f.Technical Note.b.1.	Electron Beam PVD uses an electron beam to heat and evaporate the material which forms the coating;
2.E.3.f.Technical Note.b.2.	Ion Assisted Resistive Heating PVD employs electrically resistive heating sources in combination with impinging ion beam(s) to produce a controlled and uniform flux of evaporated coating species;
2.E.3.f.Technical Note.b.3.	"Laser" Vaporization uses either pulsed or continuous wave "laser" beams to vaporize the material which forms the coating;
